name,song_count,total_views,tradition,file_path
Nagaraj Rao Havaldar,243,366250,Hindustani,Hindustani/artist/Nagaraj Rao Havaldar.json
Pelva Naik,69,618947,Hindustani,Hindustani/artist/Pelva Naik.json
Rajeev Janardan,248,305066,Hindustani,Hindustani/artist/Rajeev Janardan.json
Bahauddin Dagar,268,1160357,Hindustani,Hindustani/artist/Bahauddin Dagar.json
Nishat Khan,400,1391696,Hindustani,Hindustani/artist/Nishat Khan.json
Rattan Mohan Sharma,296,5301741,Hindustani,Hindustani/artist/Rattan Mohan Sharma.json
Ahmed Jan Thirakwa,268,1973649,Hindustani,Hindustani/artist/Ahmed Jan Thirakwa.json
Pandit Maniram,66,386504,Hindustani,Hindustani/artist/Pandit Maniram.json
Milind Raikar,214,222994,Hindustani,Hindustani/artist/Milind Raikar.json
Prakash Sontakke,51,61479,Hindustani,Hindustani/artist/Prakash Sontakke.json
Hafiz Ali Khan,96,53034,Hindustani,Hindustani/artist/Hafiz Ali Khan.json
